[2025-09-28 13:00:50] DEBUG [C:\xampp\htdocs\tango\wp-content\plugins\site-reviews\plugin\Integrations\Cache\Controller.php:112] cache::flushing [all]
[2025-09-28 13:09:26] DEBUG [C:\xampp\htdocs\tango\wp-content\plugins\site-reviews\plugin\Integrations\Cache\Controller.php:114] cache::flushing [18]
[2025-09-29 13:14:07] DEBUG [C:\xampp\htdocs\tango\wp-content\plugins\site-reviews\plugin\Integrations\Cache\Controller.php:114] cache::flushing [95]
[2025-09-29 13:45:50] DEBUG [C:\xampp\htdocs\tango\wp-content\plugins\site-reviews\plugin\Integrations\Cache\Controller.php:114] cache::flushing [95]
[2025-09-29 13:48:04] DEBUG [C:\xampp\htdocs\tango\wp-content\plugins\site-reviews\plugin\Integrations\Cache\Controller.php:114] cache::flushing [95]
[2025-09-30 13:20:30] DEBUG [C:\xampp\htdocs\tango\wp-content\plugins\site-reviews\plugin\Integrations\Cache\Controller.php:114] cache::flushing [45]
[2025-09-30 13:20:46] DEBUG [C:\xampp\htdocs\tango\wp-content\plugins\site-reviews\plugin\Integrations\Cache\Controller.php:114] cache::flushing [95]
[2025-09-30 13:20:50] DEBUG [C:\xampp\htdocs\tango\wp-content\plugins\site-reviews\plugin\Integrations\Cache\Controller.php:114] cache::flushing [18]
[2025-09-30 13:20:56] DEBUG [C:\xampp\htdocs\tango\wp-content\plugins\site-reviews\plugin\Integrations\Cache\Controller.php:114] cache::flushing [95]
[2025-09-30 13:21:05] DEBUG [C:\xampp\htdocs\tango\wp-content\plugins\site-reviews\plugin\Integrations\Cache\Controller.php:114] cache::flushing [95]
[2025-09-30 13:23:06] DEBUG [C:\xampp\htdocs\tango\wp-content\plugins\site-reviews\plugin\Integrations\Cache\Controller.php:114] cache::flushing [197]
[2025-09-30 13:25:31] DEBUG [C:\xampp\htdocs\tango\wp-content\plugins\site-reviews\plugin\Integrations\Cache\Controller.php:114] cache::flushing [195]
